Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,index,Run,Minutes
Liz Lemon's Greatest Love Isn't A Man: IT'S FOOD! | Liz LOVES Food Above Everything Else | 30 Rock,30 Rock Official,08:56,1725,33,131641,140,2020-11-14T15:00:07Z,6,0.9812286689419796,68,2,8.933
Best of Jenna Maroney | 30 Rock,30 Rock Official,09:59,1223,12,74964,83,2021-05-25T16:30:07Z,6,0.9902834008097166,69,2,9.983
Liz Lemon's Boyfriends - 30 Rock,30 Rock Official,10:03,6648,185,1031527,464,2017-12-29T17:00:05Z,6,0.9729255085613933,70,2,10.05
Don Geiss (Best Of Rip Torn) - 30 Rock,30 Rock Official,10:05,1518,32,187431,104,2019-07-10T13:47:14Z,6,0.9793548387096774,71,2,10.083
Jack vs Banks - 30 Rock,30 Rock Official,05:49,3278,45,260195,237,2020-10-22T16:00:12Z,7,0.9864580198615709,72,2,5.817
Jack Donaghy's Life Lessons | 30 Rock,30 Rock Official,08:23,779,8,62100,55,2021-06-15T16:30:05Z,7,0.9898348157560356,73,2,8.383
The Best of Jenna Maroney and Paul L'Astname - 30 Rock (Mashup),30 Rock Official,09:24,2621,77,271672,228,2019-10-03T19:28:16Z,7,0.9714603409933283,74,2,9.4
Negotiating with Jack Donaghy,Michael H,05:01,4750,125,812312,333,2012-03-20T09:53:27Z,7,0.9743589743589743,75,2,5.017
Anna Howard Shaw Day At 30 Rock - 30 Rock,30 Rock Official,10:01,2050,70,298566,101,2018-02-14T00:00:01Z,7,0.9669811320754716,76,2,10.017
Every Appearance Of Conan (Best Of Conan O’Brien) - 30 Rock,30 Rock Official,05:38,16061,446,1755708,852,2018-05-04T16:00:03Z,7,0.9729811595080875,77,2,5.633
Every D'fwan Moment - 30 Rock,30 Rock Official,08:55,10289,216,918992,683,2018-01-05T17:30:01Z,7,0.979438362684436,78,2,8.917
Don Geiss (Best Of Rip Torn) - 30 Rock,30 Rock Official,10:05,1518,32,187431,104,2019-07-10T13:47:14Z,7,0.9793548387096774,79,2,10.083
The Negotiation - 30 Rock,30 Rock Official,04:28,7500,114,719024,349,2020-04-02T16:00:31Z,7,0.9850275807722616,80,2,4.467
Best of Jenna Maroney | 30 Rock,30 Rock Official,09:59,1223,12,74964,83,2021-05-25T16:30:07Z,7,0.9902834008097166,81,2,9.983
The Negotiation - 30 Rock,30 Rock Official,05:49,3278,45,260195,237,2020-10-22T16:00:12Z,8,0.9864580198615709,82,2,5.817
Jack Donaghy's Life Lessons | 30 Rock,30 Rock Official,08:23,779,8,62100,55,2021-06-15T16:30:05Z,8,0.9898348157560356,83,2,8.383
Negotiating with Jack Donaghy,Michael H,05:01,4750,125,812312,333,2012-03-20T09:53:27Z,8,0.9743589743589743,84,2,5.017
Anna Howard Shaw Day At 30 Rock - 30 Rock,30 Rock Official,10:01,2050,70,298566,101,2018-02-14T00:00:01Z,8,0.9669811320754716,85,2,10.017
Jack vs Banks - 30 Rock,30 Rock Official,10:01,6404,188,1029495,450,2017-11-24T17:30:00Z,8,0.9714805825242718,86,2,10.017
The Bubble - 30 Rock,30 Rock Official,05:21,1833,28,163721,148,2020-07-16T16:00:09Z,8,0.984954325631381,87,2,5.35
Liz Lemon's Boyfriends - 30 Rock,30 Rock Official,10:03,6648,185,1031527,464,2017-12-29T17:00:05Z,8,0.9729255085613933,88,2,10.05
Liz Exposes Abby - 30 Rock,30 Rock Official,02:38,10805,292,1502943,761,2018-01-03T17:00:08Z,8,0.9736865819590881,89,2,2.633
The Rural Juror - 30 Rock,30 Rock Official,02:47,2957,56,349880,126,2019-08-31T13:00:00Z,8,0.9814138732160638,90,2,2.783
